hid,title,type,rating,origination,read,last_read,synonyms,mal,anilist,mangaupdates
_pMvLkaE,Auto Hunting With My Clones,Reading,0,Manhwa,153,2025-07-22,"分身でオートバトル,分身狩獵,用分身自动狩猎,แยกร่าง ล่าอัตโนมัติ,Auto-Hunting With Clones,분신으로 자동사냥,Bunsin-eulo Jadongsanyang,Авто-охота с клонами,แยกร่าง ล่าอัตโนมัติ,用分身自动狩猎,Auto Hunting as a Clone,Cazando automáticamente con mis clones,Cazando con mi clones,分身でオートバトル,分身狩獵,Cazando automáticamente con mis clones,Cazando con mi clones",https://myanimelist.net/manga/153965,https://anilist.co/manga/155950,https://www.mangaupdates.com/series/kd3cp61
Pk_vCu12,The Reborn Young Lord Is an Assassin,Reading,0,Manhwa,110,2026-02-24,"회귀한 공작가의 막내도련님은 암살자,Вернувшийся младший сын герцога,El asesino que retornó como el hijo del Duque,El pibe que retorna como el hijo menor,Регрессировавший сын герцога,ลูกชายคนเล็กของดยุกคือมือสังหาร,歸來的少爺是暗殺者,The Regressed Youngest Son of the Duke Is an Assassin,The Regressed Son of a Duke Is an Assassin,回帰した公爵家の末息子は暗殺者,公爵家的重生暗杀者,Hoegwihan Gongjakga ui Maknae Doryeon-nim eun Assassin,El joven señor renacido es un asesino,La venganza del asesino de la espada demoniaca",https://myanimelist.net/manga/167734,https://anilist.co/manga/175262,https://www.mangaupdates.com/series/2phrgxp
8XLlRkeA,The Novel’s Extra,Reading,0,Manhwa,160,2026-06-11,"The Novel’s Extra (2022),The Novel’s Extra (Remake),소설 속 엑스트라,Дополнение в новелле,ผมก็แค่ตัวประกอบในนิยาย,El extra de la novela,The Ghost Writing Hero,小説の中のエキストラ,小说里的叛逆路人甲,成為我筆下小說的路人甲",https://myanimelist.net/manga/148985,https://anilist.co/manga/152128,https://www.mangaupdates.com/series/dktahwe
l_Vjpvkq,Second Life Ranker,Reading,0,Manhwa,222,2026-05-14,"เกมชีวิตที่สอง ของแรงเกอร์,Ranker yang Hidup Dua Kali,Ранкер, который живёт второй раз,二度生きるランカー,두 번 사는 랭커,異界攻塔戰記,Ranker Who Lives A Second Time,The Ranker Who Lives Twice,SLR,Nido Ikiru Rankaa,Ranker Who Lives Twice,Rebirth of the Strongest Warrior,रैंकर जो दो बार जीता है,重生归来的战士",https://myanimelist.net/manga/147324,https://anilist.co/manga/109957,https://www.mangaupdates.com/series/fsgta4n
eL0SV2JN,One in Seven Billion Irregular,Reading,0,Manhwa,123,2026-03-16,"Irregular of 1 in 7 Billion,70억분의 1의 이레귤러,1 из 7 миллиардов нерегулярных,登录苍穹,One-In-Seven-Billion Irregular,70-eokbunui 1-ui Irregular,One-of-a-Kind Irregular,1 in 7 Billion Irregular,70億分の1のイレギュラー,One of a Kind Irregular",https://myanimelist.net/manga/152726,https://anilist.co/manga/148207,https://www.mangaupdates.com/series/7enpy06
WN_Chu5i,Gangcheol eul Meokneun Player,Reading,0,Manhwa,97,2026-06-12,"Steel-Eating Player,The Player Who Eats Steel,강철을 먹는 플레이어,A Player Who Eats Metal,A Player Who Eats Steel,Steel Eater,Steel-Devouring Player,The Steel-Devouring Player,Jugador devorador de acero,大啖鋼鐵的玩家,吞噬钢铁的玩家,เพลเยอร์นักกินเหล็ก,A Player Who Eats Metal,A Player Who Eats Steel,Steel Eater,Steel-Devouring Player,เพลเยอร์นักกินเหล็ก,吞噬钢铁的玩家,大啖鋼鐵的玩家,鉄喰いの回帰プレイヤー",https://myanimelist.net/manga/163132,https://anilist.co/manga/170956,https://www.mangaupdates.com/series/xgl4s3j
vla8f9Kq,Crimson Reset,Reading,0,Manhwa,47,2026-06-12,"How to Live as the Vampire Lord,深紅の主の帰還,뱀파이어 로드로 사는 법,Как жить повелителем вампиров,Vampire Lord-ro Saneun Beop",https://myanimelist.net/manga/189262,https://anilist.co/manga/203154,https://www.mangaupdates.com/series/7gdv6t8
cjee7NwJ,Academy eseo Saranamgi,Reading,0,Manhwa,110,2026-06-12,"Surviving the Academy,How to Survive at the Academy,아카데미에서 살아남기,O guia de sobrevivência do extra da academia,O guia de sobrevivência do figurante da academia,Hướng dẫn sinh tồn trong học viện,モブ悪役がアカデミーで生き残るには,三流反派的學院生存記,三流反派的学院生存记,Przewodnik przetrwania w Akademii,The Extra's Academy Survival Guide,Guía de supervivencia del extra de la academia",https://myanimelist.net/manga/166865,https://anilist.co/manga/172619,https://www.mangaupdates.com/series/iy9ya7q
L4OKFr6S,How To Survive Downsizing,Reading,0,Manhwa,67,2026-03-16,"구조 조정에서 살아남는 법,How to Survive Restructuring,リストラ生存戦線,末世裁员：我要活下来！,Survive a Restructuring",https://myanimelist.net/manga/176822,https://anilist.co/manga/193090,https://www.mangaupdates.com/series/xp1xhlg
Z66Ryb33,Killer Alchemist -Assassinations in Another World- (Official),Reading,0,Manga,26,2026-02-19,"Ansatsu Skill de Isekai Saikyou: Renkinjutsu to Ansatsujutsu o Kiwameta Ore wa, Sekai o Kage kara Shihai Suru,Killer Alchemist -Assassinations in Another World-,Killer Alchemist: Assassinations in Another World,My Assassination Skills Are the Strongest in Another World: Having Mastered Alchemy and Assassination, I Dominate the World from the Shadows,The Strongest in Another World with Assassination Skills - I, Who Has Mastered Alchemy and Assassination, Dominate the World from Behind,แกร่งสุดในต่างโลกด้วยสกิลลอบสังหาร ~ผสานศาสตร์เล่นแร่แปรธาตุและสกิลลอบสังหาร ปกครองโลกจากเงามืด~ (SIC),暗殺スキルで異世界最強　~錬金術と暗殺術を極めた俺は、世界を陰から支配する~,암살 스킬로 이세계 최강 ~연금술과 암살술을 단련한 나는, 세계를 음지에서 지배한다~,Ansatsu Skill de Isekai Saikyou - Renkinjutsu to Ansatsujutsu o Kiwameta Ore wa, Sekai o Kage kara Shihai Suru,My Assassination Skills Are the Strongest in Another World: Having Mastered Alchemy and Assassination, I Dominate the World from the Shadows,暗殺スキルで異世界最強 ~錬金術と暗殺術を極めた俺は、世界を陰から支配する~,암살 스킬로 이세계 최강 ~연금술과 암살술을 단련한 나는, 세계를 음지에서 지배한다~,Ansatsu Skill de Isekai Saikyou: Renkinjutsu to Ansatsujutsu o Kiwameta Ore wa, Sekai o Kage kara Shihai Suru,Ansatsu Skill de Isekai Saikyou - Renkinjutsu to Ansatsujutsu o Kiwameta Ore wa, Sekai o Kage kara Shihai Suru,The Strongest in Another World with Assassination Skills - I, Who Has Mastered Alchemy and Assassination, Dominate the World from Behind,暗殺スキルで異世界最強,Killer Alchemist -Assassinations in Another World-",https://myanimelist.net/manga/138922,https://anilist.co/manga/138139,https://www.mangaupdates.com/series/88gruop
0GMpVmks,Mushoku Tensei: Isekai Ittara Honki Dasu,Reading,0,Manga,119,2026-05-15,"A Reencarnação do Vagabundo: Vou dar meu melhor se for para outro mundo,Mushoku Tensei,Реинкарнация безработного: Попав в другой мир, я стану сёръёзнее,无职转生~在异世界认真地活下去~,เกิดชาตินี้พี่ต้องเทพ,Mushoku Tensei: Jobless Reincarnation,Mushoku Tensei: If I Get to a Parallel Universe I'll Bring Out my True Effort,Mushoku Tensei: İşsiz Reenkarnasyon,Mushoku Tensei: Paralel Evrene Taşındığımda Her Şeyi Yapacağım,Mushoku Tensei: Reencarnación desde cero,موشوکو تنسی: تناسخ علاف,Jobless Reincarnation: I Will Seriously Try If I Go to Another World,Penjelmaan Semula yang Menganggur: Jika Saya Pergi ke Dunia Lain, Saya Akan Menjadi Serius,Reincarnazione senza lavoro: Ci proverò seriamente se vado in un altro mondo,Réincarnation sans emploi : j'essaierai sérieusement si je vais dans un autre monde,Реинкарнация безработного: Я серьёзно постараюсь, если отправлюсь в другой мир,موشوكو تينسي,موشوکو تنسی,Mushoku Tensei: Jobless Reincarnation,Jobless Reincarnation: It Will be All Out if I Go to Another World,Mr. No-Job's New Life: If I Go to a Parallel World, Then I'll Get Serious,Mushoku Tensei : Nouvelle vie, nouvelle chance,Реинкарнация безработного: История о приключениях в другом мире,無職転生　～異世界行ったら本気だす～,무직전생 ～다른 세계 가면 진심 낸다～,Mushoku Tensei: In dieser Welt mach ich alles anders,無職轉生～在異世界認真地活下去～,Thất nghiệp chuyển sinh: Sống hết mình sau khi tới thế giới khác,Jobless Reincarnation: I Will Go All Out When I'm Transported to Another World",https://myanimelist.net/manga/70259,https://anilist.co/manga/85564,https://www.mangaupdates.com/series/n02o45x
nXwxJXyW,Records of the Swordsman Scholar,Reading,0,Manhwa,205,2026-06-12,"학사검전,Экзамен на учёного,學士劍傳,Legends of the Swordsman Scholar,Os relatos do erudito guerreiro,Registros del espadachín erudito,学士剑传,学士剣典",https://myanimelist.net/manga/159005,https://anilist.co/manga/151220,https://www.mangaupdates.com/series/1xydlxp
UqsEUp3P,Tondemo Skill de Isekai Hourou Meshi,Reading,0,Manga,65,2026-04-10,"とんでもスキルで異世界放浪メシ,Aventura Gourmet Del Domador Legendario,Cocina De Fogata En Otro Mundo Con Mi Habilidad Absurda,擁有超常技能的異世界流浪美食家,터무니없는 스킬로 이세계 방랑 밥,网购技能开启异世界美食之旅,Hero Skill : Achats en ligne,Кулинарные скитания в параллельном мире,สกิลสุดพิสดารกับมื้ออาหารในต่างโลก,Campfire Cooking in Another World with My Absurd Skill,Ẩm Thực Dã Ngoại Tại Dị Giới Với Kỹ Năng Không Tưởng,Chu Du Ẩm Thực Tại Dị Giới Với Kỹ Năng Không Tưởng",https://myanimelist.net/manga/105747,https://anilist.co/manga/98608,https://www.mangaupdates.com/series/3q39jfd
tlLYDepL,Player ga Gwageoreul Sung-gim,Reading,0,Manhwa,125,2026-06-10,"The Player Hiding His Past,플레이어가 과거를 숨김,El jugador oculta su pasado,The Player Hides His Past,El Pasado Oculto del Jugador,El pasado oculto del jugador,Le Player cache son passé,Player-ga Gwageoreul Sumgim,ตัวตนสุดเบียวของเพลเยอร์ผู้กู้โลก,俺の黒歴史、世界を救う,隐瞒黑历史的玩家,隱藏過去的玩家",https://myanimelist.net/manga/159734,https://anilist.co/manga/166154,https://www.mangaupdates.com/series/97bthtl
AinlRu1s,Entomologist in Sichuan Tang Clan,Reading,0,Manhwa,90,2026-06-13,"El maestro del veneno del Clan Tang Sichuan,Entomologist in Sichuan Tang Clan,파브르 in 사천당가,A Poison Master in the Sichuan Tang Clan,The Poison Master of Sacheon Tang Clan,Entomologista Do Clã Tang De Sichuan,The Sichuan Tang Clan’s Entomologist,Fabre in Sacheon Tang Clan,Fabre in Sacheondangga,เซียนพิษท่องยุทธภพ,The Poison Master of Sacheondang Clan,唐家的养蛊师,武林界のファーブルは毒物博士,毒物專家法布爾in四川唐門",https://myanimelist.net/manga/176223,https://anilist.co/manga/185452,https://www.mangaupdates.com/series/d3t0m50
G1Ip81IG,The Druid of Seoul Station,Reading,0,Manhwa,207,2025-11-29,"서울역 드루이드,归来的异世界王者,ดรูอิดแห่งสถานีโซล,Друид с Сеульского вокзала,ドルイド侵略,Seoul Station Druid,सियोल स्टेशन ड्रुइडो,異世界王者德魯伊德,Друїд з Сеульського вокзалу,Druida de la Estación de Seúl,Друїд зі станції Сеул",https://myanimelist.net/manga/147489,https://anilist.co/manga/135369,https://www.mangaupdates.com/series/hnp97ml
EnXtz6mM,Yajin Tensei: Karate Survivor in Another World,Reading,0,Manga,,0000-00-00,"Salvaje Reencarnado,Реінкарнація Дикуна: Каратист, що вижив у іншому світі,Karate Survivor in Another World,Yajin Tensei Karate Survivor in Another World,野人転生　KARATE SURVIVOR IN ANOTHER WORLD",https://myanimelist.net/manga/120309,https://anilist.co/manga/125726,https://www.mangaupdates.com/series/1fd7fco
azCEwlE7,Tsuihou Sareta Tensei Juukishi wa Game Sashiki de Musou Suru,Reading,0,Manga,167,2026-05-28,"追放された転生重騎士はゲーム知識で無双する,The Exiled Heavy Knight Knows How to Game the System,The Exiled Reincarnated Heavy Knight Is Unrivaled in Game Knowledge,被追放的转生重骑士用游戏知识开无双,大ハズレだと追放された転生重騎士はゲーム知識で無双する",https://myanimelist.net/manga/147799,https://anilist.co/manga/150193,https://www.mangaupdates.com/series/8w4pz1z
PW_QH4Do,The Grand Mudang Saga,Reading,0,Manhwa,166,2026-06-10,"Path of the Shaman,Mudanggihyeop,武当奇侠,Шаман великого духа,무당기협,Wudang's Cheater Martial,Shamanism,La Saga du clan Mudang,Wandering Warrior of Wudang,เส้นทางนักพรต,Mudang Gihyeob,Mugang: The Path of Shaman,Võ Đang Kỳ Hiệp,武當奇俠",https://myanimelist.net/manga/148454,https://anilist.co/manga/127783,https://www.mangaupdates.com/series/stqvlu8
JQlkhT3N,The Villain Wants to Live,Reading,0,Manhwa,55,2026-06-08,"反派也想活下去,악당은 살고 싶다,A Villain's Will to Survive,Đại Phản Diện Khao Khát Được Sống,악당은 살고 싶다 (악살싶),The Villain's Survival Route",https://myanimelist.net/manga/179465,https://anilist.co/manga/187427,https://www.mangaupdates.com/series/ohp9w7h
mrBoDl3Q,Tensei Shitara Slime datta Ken,Reading,0,Manga,142,2026-05-27,"Tensei Slime,TenSura,転生したらスライムだった件,TenSli,Moi, quand je me réincarne en Slime,О моём перерождении в слизь,เกิดใหม่ทั้งทีก็เป็นสไลม์ไปซะแล้ว,关于我转生后成为史莱姆的那件事,Regarding Reincarnated to Slime,Odrodzony jako galareta,Vita da Slime,전생했더니 슬라임이었던 건에 대하여,That Time I Got Reincarnated as a Slime,In Regards to My Reincarnation as a Slime,Kun jälleensynnyin hirviönä,O zaman bir balçık olarak reenkarne oldum,O zaman bir slime olarak reenkarne oldum,ذلك الوقت الذي تجسدت فيه كسلايم,Lúc Đó Tôi Đã Chuyển Sinh Thành Slime,Meine Wiedergeburt als Schleim in einer anderen Welt,Slime Olarak Reenkarne Olduğum Zaman,Esa vez cuando me reencarné como un limo,Aquella vez que me convertí en Slime,เกิดใหม่ทั้งทีก็เป็นสไลม์ไปซะแล้ว (Luckpim),ពេលនោះខ្ញុំកើតជាស្លែម,關於我轉生變成史萊姆這檔事",https://myanimelist.net/manga/87609,https://anilist.co/manga/86399,https://www.mangaupdates.com/series/04gtb06
ByBJXZN7,"Oversummoned, Overpowered, and Over It!",Reading,0,Manga,73,2025-09-28,"めっちゃ召喚された件,Oversummoned, Overpowered, and Over It!,Eomcheong Sohwandoen Geone Daehayeo,엄청 소환된 건에 대하여,Oversummoned, Overpowered, and Over It! (Tsugutoku),Oversummoned, Overpowered, and Over It! (Tsugutoku),Surinvoqué & Surpuissant,めっちゃ召喚された件 (ツグトク),Meccha Shoukan Sareta Ken,Meccha Shoukan Sareta Ken (Tsugutoku),めっちゃ召喚された件 (ツグトク),靠召喚開外掛的勇者,Metcha Shoukan Sareta Ken (Tsugutoku),Invocado Demais, Forte Demais e de Saco Cheio!",,https://anilist.co/manga/185434,https://www.mangaupdates.com/series/8yqf90v
pZU3ORu8,Goblin Slayer,Reading,0,Manga,109,2026-05-31,"ゴブリンスレイヤー,고블린 슬레이어,Убийца Гоблинов,哥布林殺手,Dũng Sĩ Diệt Yêu Tinh,Kẻ Diệt Yêu Tinh,Goblin Avcısı,Goblin Keser,Goburin Sureiyaa,Zabójca Goblinów,Убийца Гоблинов (манга),ก็อบลินสเลเยอร์!,哥布林杀手(漫画）,GOBLIN SLAYER!,Goblin Slayer",https://myanimelist.net/manga/98720,https://anilist.co/manga/87321,https://www.mangaupdates.com/series/y11s57s
KJp4UwZH,Live Dungeon!,Reading,0,Manga,88,2026-01-08,"라이브 던전!,实况地下城！,ライブダンジョン！,Masmorra Viva!,實況地下城！,ライブダンジョン！(Comic),Live Dungeon!",https://myanimelist.net/manga/125348,https://anilist.co/manga/110999,https://www.mangaupdates.com/series/f9i6jc7
34oFHVI8,Tsuki ga Michibiku Isekai Douchuu,Reading,0,Manga,116,2026-03-31,"Лунный бог, приключение и другой мир,月が導く異世界道中,月光下的异世界之旅,Rembulan Menuntun Arah di Dunia Lain,Tsukimichi: Moonlit Fantasy,UMA JORNADA PARA OUTRO MUNDO LIDERADA PELA LUA,Un voyage dans un autre monde, éclairé par la lune,달이 이끄는 이세계 여행길,Dali Ikkeuneun Isegye Yeohaenggil,Moon-led Journey Across Another World,Tsuki ga Michibiku Isekai Dochu,TsukiMichi,Nguyệt Đạo Dị Giới,Tsuki ga Michibiku Isekai Dochu,TsukiMichi",https://myanimelist.net/manga/90117,https://anilist.co/manga/87225,https://www.mangaupdates.com/series/ixgbdrq
uNHOeeYF,Gwangma Hoegwi,Reading,0,Manhwa,199,2026-06-09,"광마회귀,狂魔重生,Return of the Mad Demon,狂魔重生記,อสูรคลั่งผู้หวนคืน,Возвращение безумного демона,狂魔回帰,Return of the Mad Demon,The Return of the Crazy Demon,Deli İblisin Dönüşü,O retorno do demônio louco,Le retour du démon fou,El regreso del demonio loco,Gwangma Hoegwi",https://myanimelist.net/manga/147577,https://anilist.co/manga/137304,https://www.mangaupdates.com/series/7mpwoeo
yToripdI,The Genius Murim Fitness Trainer,Reading,0,Manhwa,117,2026-06-10,"El Genio entrenador de artes marciales,천재 무림 트레이너,Genius Martial Arts Trainer,The Genius Murim Fitness Trainer,El entrenador genio de artes marciales,El genio de artes marciales,สุดยอดเทรนเนอร์แห่งยุทธภพ,最強武林トレーナー,Cheonjae Murim Trainer",https://myanimelist.net/manga/170657,https://anilist.co/manga/179655,https://www.mangaupdates.com/series/lkaesr8
INSFt7ge,Trash of the Count's Family,Reading,0,Manhwa,177,2026-06-04,"백작가의 망나니가 되었다,بچه‌ی به‌دردنخور کنت,คุณชายไม่เอาไหนแห่งตระกูลเคานต์,Я стал графским ублюдком,อันธพาลแห่งตระกูลเคานต์,變成伯爵家的混混,伯爵家の暴れん坊になった,成为伯爵家的废物,Śmieć z rodziny hrabiego,Ничтожество из графского семейства,Отброс графской семьи,Trash Count,La basura de la familia del Conde,I Became the Countess Fool,Покидьок графської сім’ї,成为伯爵家的混混,Je suis devenu la honte de la maison du comte,Quel bifolco di un conte,Um lixo de conde,Pembuat onar di keluarga count,Der gräfliche Bengel,Kẻ vô lại nhà bá tước,The Lout of the Count's Family,Phế vật dòng dõi bá tước,O lixo da família do conde,Je suis devenu le voyou de la famille du comte,Lout of Count's Family,La Canaille du Comté",https://myanimelist.net/manga/147317,https://anilist.co/manga/123573,https://www.mangaupdates.com/series/d28ax3q
hVff6f2G,The Strongest Evolutionary Necromancer,Reading,0,Manhwa,120,2026-04-13,"死灵法师的进化特质,進化特性で最強ネクロマンサー,The Strongest Necromancer With Evolutionary Characteristics,진화 특성으로 최강 네크로맨서,Necromancer's Evolutionary Traits,Shinka Tokusei de Saikyou Necromancer,Strongest Necromancer,Strongest Necromancer With Evolutionary Characteristics,La evolución del nigromante,Đặc Tính Tiến Hóa Của Chiêu Hồn Sư",,https://anilist.co/manga/168337,https://www.mangaupdates.com/series/3azmw46
AsxcHaQg,Tensei Shitara Dragon no Tamago datta: Ibara no Dragon Road,Reading,0,Manga,49,2026-04-02,"Перерождение в яйцо дракона: Я стану сильнейшим,轉生之後的我變成了龍蛋 ～目標乃是世界最強～,Reincarnated as a Dragon Egg: Thorny Road of a Dragon,転生したらドラゴンの卵だった　～最強以外目指さねぇ～,ドラたま,DoraTama,転生したらドラゴンの卵だった　～イバラのドラゴンロード～,Reincarnated as a Dragon Egg: The Thorny Dragon Road,Tensei Shitara Dragon no Tamago datta: Saikyou Igai Mezasa nee,Reincarnated as a Dragon's Egg: Let's Aim to be the Strongest,Reincarnated as a Dragon Hatchling",https://myanimelist.net/manga/113178,https://anilist.co/manga/101468,https://www.mangaupdates.com/series/y87dhln
WMnLTd2j,Overgeared,Reading,0,Manhwa,326,2026-06-10,"템빨,Kekuatan Item,装备我最强,テムパル〜アイテムの力〜,裝備仔,تا دندان مسلح,템빨(Team Agro),item-ppal,Во всеоружии,Overgeared",https://myanimelist.net/manga/147727,https://anilist.co/manga/117460,https://www.mangaupdates.com/series/9dvc1hr
7qgFowKg,I Killed the Main Player,Reading,0,Manhwa,128,2026-06-11,"I Killed the Main Player,Tôi Đã Giết Tuyển Thủ Học Viện,아카데미 플레이어를 죽였다,I Killed the Academy Player,アカデミーの主人公を殺した,ไอ้เพลเยอร์นั่น ฉันฆ่ามันเอง,我殺了學院玩家,アカデミープレイヤーを殺した,Yo maté al jugador de la Academia,Academy Player reul Jugyeotda",https://myanimelist.net/manga/165028,https://anilist.co/manga/173020,https://www.mangaupdates.com/series/jbia152
